Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Detroit Pistons*,82,242.7,33.5,76.5,0.438,3.5,10.2,0.344,29.9,66.2,0.452,17.2,23.1,0.746,10.5,30.8,41.3,18.3,6.9,4.3,14,23.2,87.7
2,New Jersey Nets*,82,240.9,33.6,78.8,0.427,5.2,14.5,0.359,28.4,64.3,0.442,17.7,23.7,0.749,11.4,30,41.4,19.6,8.5,5.2,16.6,22.9,90.1
3,San Antonio Spurs*,82,241.8,34.9,81.7,0.427,4.3,12.7,0.339,30.6,69,0.443,16.3,21.2,0.768,12.5,28.3,40.9,19,8.1,5.1,15,23.4,90.4
4,Miami Heat,82,241.8,33.1,75.7,0.437,5,14,0.353,28.1,61.7,0.456,19.5,26,0.751,10.6,31.5,42.2,18.1,7.6,5.3,14.3,20.4,90.6
5,New Orleans Hornets*,82,242.7,34.8,79.5,0.438,4.1,12.2,0.338,30.7,67.3,0.457,18,23.5,0.766,11.1,28.9,40,19.9,7.9,5.2,14.6,21.4,91.8
6,Seattle SuperSonics,82,242.1,35,78.3,0.447,5.8,16.7,0.344,29.3,61.6,0.475,16.5,22.2,0.742,11.4,30,41.5,20.8,6.1,5,14.7,20.4,92.3
7,Utah Jazz*,82,241.2,33.5,77.4,0.434,5.3,15.3,0.349,28.2,62.1,0.454,19.8,26.1,0.759,12.3,25.9,38.2,19.5,8.8,5.2,15.9,23.8,92.3
8,Houston Rockets,82,243,35.3,81.5,0.433,4.7,13.6,0.347,30.5,67.9,0.45,17.1,22,0.775,11.9,28.7,40.6,20.5,8.1,4.6,13.2,21.9,92.3
9,Denver Nuggets,82,240.6,32.9,74.2,0.443,5.1,13.8,0.37,27.8,60.4,0.46,21.6,28.5,0.757,10.5,29.8,40.3,21.5,9,6.6,17.1,21.8,92.4
10,Washington Wizards,82,241.8,35.1,79.4,0.442,5.5,15.1,0.362,29.6,64.2,0.461,16.9,21.9,0.771,11.6,29.8,41.4,21.7,7.5,4.4,14.3,22,92.5
11,Portland Trail Blazers*,82,242.1,35.9,79.8,0.45,5.3,15.7,0.341,30.5,64.1,0.476,15.5,20.2,0.764,11.1,28,39.1,22.7,8.3,4.8,15.5,20.4,92.5
12,Boston Celtics*,82,241.8,34.2,78.7,0.435,5.6,17.1,0.331,28.5,61.6,0.464,19,25.4,0.749,11.4,33.5,45,22.2,7.5,4.5,16,21.9,93.1
13,Indiana Pacers*,82,242.7,34.9,81.6,0.428,5,14.6,0.34,29.9,67,0.447,18.6,24.3,0.767,12.3,30,42.2,20.7,7.6,6.3,15.3,23.5,93.3
14,Phoenix Suns*,82,241.5,35.5,81.2,0.438,5.3,16.6,0.32,30.2,64.6,0.468,18,23.6,0.766,12.6,30.3,42.9,22.2,7.8,5.5,16,21.5,94.4
15,Philadelphia 76ers*,82,242.1,35.1,77.6,0.452,5.5,15.6,0.354,29.5,62,0.476,18.9,24.8,0.76,11.1,29.3,40.3,22.1,7.8,6.4,17.1,23,94.5
16,Dallas Mavericks*,82,241.2,35.7,81.5,0.438,5.8,17.1,0.34,29.9,64.5,0.463,18,24.8,0.727,12.7,32.7,45.5,21.7,6.7,3.9,16,21.3,95.2
17,Sacramento Kings*,82,241.8,36.5,86.9,0.42,4.5,14.2,0.32,31.9,72.7,0.439,17.7,23.9,0.741,14,31.9,45.8,21.5,8.3,4.3,15.4,19.9,95.2
18,Minnesota Timberwolves*,82,241.5,36.6,83.8,0.437,5.8,16.6,0.347,30.9,67.2,0.46,17,22.6,0.752,11.9,29.8,41.7,22.8,7,4.9,13.6,20.6,96
19,Toronto Raptors,82,241.5,37,80.4,0.461,4.5,12,0.375,32.5,68.4,0.476,18.2,24,0.759,11.9,31.7,43.6,21.1,7.4,5,13.7,20.8,96.8
20,New York Knicks,82,242.1,36.1,79,0.457,4.4,12.8,0.34,31.7,66.2,0.48,20.6,26.7,0.771,11.4,31.9,43.3,21.1,7.6,3.8,14.4,19.9,97.2
21,Atlanta Hawks,82,242.7,36.8,84.2,0.437,5.4,15.2,0.359,31.3,69.1,0.454,18.7,24.5,0.76,13.1,29.5,42.6,21.6,9,5,13,20.3,97.6
22,Los Angeles Clippers,82,240.9,37,82.8,0.447,5.5,15.2,0.365,31.5,67.6,0.466,18.4,23.7,0.774,12.8,30,42.8,22.4,8,5.1,14,22.5,97.9
23,Los Angeles Lakers*,82,243,36.3,82,0.443,5.7,14.9,0.38,30.6,67.1,0.456,19.8,26,0.76,11.7,30.4,42.1,21.4,7.9,3.8,14.5,23.4,98
24,Orlando Magic*,82,241.5,36.7,80.5,0.455,4.9,14.8,0.334,31.7,65.7,0.483,20.1,26.2,0.767,11.8,31.7,43.5,22.4,7.8,5,16.4,22.2,98.4
25,Milwaukee Bucks*,82,242.7,37.1,81,0.458,5.8,15.6,0.375,31.3,65.4,0.478,19.2,25.8,0.745,12.5,31,43.4,23.1,6.6,4.1,14.4,20.5,99.3
26,Chicago Bulls,82,243,36.5,83.1,0.439,5.3,16.3,0.323,31.2,66.9,0.467,21.9,29.2,0.749,13.6,31.4,45,23.8,9.4,5,14.7,21.9,100.1
27,Memphis Grizzlies,82,243,39.3,85.5,0.46,5.3,14.5,0.363,34.1,71,0.48,16.8,22.2,0.759,13.7,31.2,44.9,24.3,8.7,5.2,14.8,21.7,100.7
28,Cleveland Cavaliers,82,241.8,37.5,82.8,0.453,5.2,14.6,0.358,32.2,68.2,0.473,20.9,27.1,0.772,11.4,30.4,41.7,24,9.8,6,14.2,20.8,101
29,Golden State Warriors,82,240.9,39.5,87.5,0.452,5.3,14.4,0.372,34.2,73.1,0.467,19.2,25.4,0.756,14.7,29.1,43.8,23.6,8.7,6,13.7,23.6,103.6
,,,,,,,,,,,,,,,,,,,,,,,,
