Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
1,Chicago Bulls*,82,243,35,81.2,0.43,6.6,18.7,0.351,28.4,62.5,0.454,15.3,20.3,0.753,10.7,30.6,41.3,19.6,7.6,6,14.4,20.9,91.8,
2,Indiana Pacers*,82,241.2,34.8,82.7,0.42,6.6,19,0.345,28.2,63.7,0.443,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3,
3,Memphis Grizzlies*,82,241.5,35.7,79.3,0.45,7.5,21.1,0.355,28.2,58.2,0.484,15.8,20.6,0.766,9.9,29.3,39.2,19.9,7.2,5,14.2,18.9,94.6,
4,Charlotte Bobcats*,82,242.7,36.9,83.4,0.442,8.1,22,0.369,28.7,61.4,0.468,15.3,20.1,0.759,9.6,33.7,43.3,21,6.3,5.1,13.3,20.9,97.1,
5,Miami Heat*,82,242.4,36.1,79,0.457,8.5,23.4,0.362,27.6,55.6,0.497,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4,
6,San Antonio Spurs*,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6,
7,Toronto Raptors*,82,243.4,36.1,80.2,0.45,6.9,19.2,0.36,29.1,60.9,0.478,19,25.3,0.752,10.4,30.5,41,21,7.3,4.3,14.9,22.1,98,
8,New York Knicks,82,242.1,35.8,78.1,0.458,8.7,23.4,0.371,27.1,54.6,0.496,19.1,25,0.765,10.3,31.7,42,19.7,6.3,3.4,14.5,19.6,99.4,
9,Washington Wizards*,82,244.6,37,80.9,0.458,7.5,21.5,0.347,29.6,59.4,0.498,17.8,23.3,0.765,10.1,32.1,42.2,22.2,7.7,3.9,16,19.5,99.4,
10,Golden State Warriors*,82,241.8,36.8,84.4,0.436,6.9,20.2,0.344,29.9,64.2,0.465,18.9,24.7,0.765,10.7,32.6,43.3,20.5,7.9,4.2,15,19.3,99.5,
11,Brooklyn Nets*,82,242.4,36.3,79.4,0.458,8.1,22,0.367,28.3,57.4,0.492,18.8,24.7,0.76,11.2,31.6,42.9,21,7.4,4.1,15.8,20.8,99.5,
12,Oklahoma City Thunder*,82,241.5,36.4,83.4,0.436,8.6,24,0.358,27.8,59.4,0.468,18.4,25.4,0.727,11,30,40.9,21.8,8.2,3.6,15.2,20.4,99.8,
13,Boston Celtics,82,240.6,37.8,81.4,0.465,6.6,18.9,0.347,31.2,62.5,0.5,18.5,24.3,0.761,10.6,31.7,42.3,22.1,7.4,4.5,14.2,19.1,100.7,
14,Los Angeles Clippers*,82,240.9,37.4,84.9,0.441,7.3,21.8,0.332,30.2,63,0.479,18.9,25,0.755,12.3,31.4,43.7,23.3,7,3.5,15.4,23.4,101,
15,Atlanta Hawks*,82,241.8,38.6,83.5,0.462,8,21.9,0.365,30.6,61.6,0.497,16.4,21.9,0.748,10.8,32.8,43.5,23.2,8.2,4.3,15.2,20,101.5,
16,Cleveland Cavaliers,82,243,37.8,83.5,0.452,9.3,25.4,0.367,28.4,58.1,0.49,16.6,22,0.757,10.3,32.3,42.5,24.8,7.2,5.6,14,19.5,101.5,
17,Orlando Magic,82,243.4,38.1,83.7,0.456,8,21.7,0.371,30.1,62,0.485,17.7,22.9,0.77,10.5,33.5,44,22.5,7.1,5.4,14,18.3,102,
